Currency,Units per USD,USD per unit,Date
CNY,6.872,0.146,2023-03-28
NZD,1.6,0.625,2023-03-28
HKD,7.85,0.127,2023-03-28
MXN,18.246,0.055,2023-03-28
PHP,54.346,0.018,2023-03-28
PLN,4.315,0.232,2023-03-28
PEN,3.764,0.266,2023-03-28
EUR,0.924,1.083,2023-03-29
GBP,0.812,1.231,2023-03-29
INR,82.204,0.012,2023-03-29
AUD,1.497,0.668,2023-03-29
CAD,1.358,0.737,2023-03-29
SGD,1.329,0.752,2023-03-29
CHF,0.92,1.088,2023-03-29
CNY,6.887,0.145,2023-03-29
NZD,1.607,0.622,2023-03-29
HKD,7.85,0.127,2023-03-29
MXN,18.1,0.055,2023-03-29
PHP,54.333,0.018,2023-03-29
PLN,4.33,0.231,2023-03-29
PEN,3.753,0.266,2023-03-29
EUR,0.918,1.09,2023-03-30
GBP,0.809,1.237,2023-03-30
INR,82.124,0.012,2023-03-30
AUD,1.492,0.67,2023-03-30
CAD,1.354,0.739,2023-03-30
SGD,1.328,0.753,2023-03-30
CHF,0.914,1.094,2023-03-30
CNY,6.872,0.146,2023-03-30
NZD,1.6,0.625,2023-03-30
HKD,7.85,0.127,2023-03-30
MXN,18.096,0.055,2023-03-30
PHP,54.398,0.018,2023-03-30
PLN,4.289,0.233,2023-03-30
PEN,3.755,0.266,2023-03-30
EUR,0.92,1.087,2023-03-31
GBP,0.809,1.237,2023-03-31
INR,82.113,0.012,2023-03-31
AUD,1.492,0.67,2023-03-31
CAD,1.353,0.739,2023-03-31
SGD,1.33,0.752,2023-03-31
CHF,0.913,1.095,2023-03-31
CNY,6.869,0.146,2023-03-31
NZD,1.595,0.627,2023-03-31
HKD,7.85,0.127,2023-03-31
MXN,18.029,0.055,2023-03-31
PHP,54.294,0.018,2023-03-31
PLN,4.304,0.232,2023-03-31
PEN,3.76,0.266,2023-03-31
EUR,0.921,1.086,2023-04-01
GBP,0.81,1.234,2023-04-01
INR,82.151,0.012,2023-04-01
AUD,1.495,0.669,2023-04-01
CAD,1.352,0.74,2023-04-01
SGD,1.331,0.751,2023-04-01
CHF,0.915,1.093,2023-04-01
CNY,6.868,0.146,2023-04-01
NZD,1.598,0.626,2023-04-01
HKD,7.85,0.127,2023-04-01
MXN,18.024,0.055,2023-04-01
PHP,54.28,0.018,2023-04-01
PLN,4.314,0.232,2023-04-01
PEN,3.763,0.266,2023-04-01
EUR,0.921,1.085,2023-04-02
GBP,0.81,1.234,2023-04-02
INR,82.14,0.012,2023-04-02
AUD,1.495,0.669,2023-04-02
CAD,1.351,0.74,2023-04-02
SGD,1.331,0.751,2023-04-02
CHF,0.915,1.093,2023-04-02
CNY,6.869,0.146,2023-04-02
NZD,1.598,0.626,2023-04-02
HKD,7.85,0.127,2023-04-02
MXN,18.03,0.055,2023-04-02
PHP,54.28,0.018,2023-04-02
PLN,4.314,0.232,2023-04-02
PEN,3.763,0.266,2023-04-02
EUR,0.918,1.089,2023-04-03
GBP,0.806,1.24,2023-04-03
INR,82.252,0.012,2023-04-03
AUD,1.474,0.678,2023-04-03
CAD,1.343,0.744,2023-04-03
SGD,1.328,0.753,2023-04-03
CHF,0.913,1.095,2023-04-03
CNY,6.878,0.145,2023-04-03
NZD,1.59,0.629,2023-04-03
HKD,7.85,0.127,2023-04-03
MXN,18.122,0.055,2023-04-03
PHP,54.561,0.018,2023-04-03
PLN,4.291,0.233,2023-04-03
PEN,3.768,0.265,2023-04-03
EUR,0.913,1.095,2023-04-04
GBP,0.8,1.25,2023-04-04
INR,82.158,0.012,2023-04-04
AUD,1.483,0.674,2023-04-04
CAD,1.345,0.743,2023-04-04
SGD,1.326,0.754,2023-04-04
CHF,0.907,1.102,2023-04-04
CNY,6.881,0.145,2023-04-04
NZD,1.586,0.63,2023-04-04
HKD,7.851,0.127,2023-04-04
MXN,18.158,0.055,2023-04-04
PHP,54.376,0.018,2023-04-04
PLN,4.274,0.234,2023-04-04
PEN,3.774,0.265,2023-04-04
EUR,0.916,1.092,2023-04-05
GBP,0.802,1.247,2023-04-05
INR,81.916,0.012,2023-04-05
AUD,1.486,0.673,2023-04-05
CAD,1.345,0.743,2023-04-05
SGD,1.327,0.753,2023-04-05
CHF,0.905,1.105,2023-04-05
CNY,6.879,0.145,2023-04-05
NZD,1.58,0.633,2023-04-05
HKD,7.85,0.127,2023-04-05
MXN,18.311,0.055,2023-04-05
PHP,54.485,0.018,2023-04-05
PLN,4.292,0.233,2023-04-05
PEN,3.773,0.265,2023-04-05
EUR,0.915,1.093,2023-04-06
GBP,0.803,1.245,2023-04-06
INR,81.87,0.012,2023-04-06
AUD,1.499,0.667,2023-04-06
CAD,1.348,0.742,2023-04-06
SGD,1.33,0.752,2023-04-06
CHF,0.904,1.106,2023-04-06
CNY,6.875,0.145,2023-04-06
NZD,1.6,0.625,2023-04-06
HKD,7.85,0.127,2023-04-06
MXN,18.216,0.055,2023-04-06
PHP,54.553,0.018,2023-04-06
PLN,4.287,0.233,2023-04-06
PEN,3.761,0.266,2023-04-06
EUR,0.916,1.091,2023-04-07
GBP,0.805,1.242,2023-04-07
INR,81.853,0.012,2023-04-07
AUD,1.5,0.667,2023-04-07
CAD,1.352,0.74,2023-04-07
SGD,1.331,0.751,2023-04-07
CHF,0.905,1.105,2023-04-07
CNY,6.87,0.146,2023-04-07
NZD,1.601,0.624,2023-04-07
HKD,7.85,0.127,2023-04-07
MXN,18.145,0.055,2023-04-07
PHP,54.6,0.018,2023-04-07
PLN,4.286,0.233,2023-04-07
PEN,3.759,0.266,2023-04-07
EUR,0.912,1.096,2023-04-08
GBP,0.805,1.242,2023-04-08
INR,81.882,0.012,2023-04-08
AUD,1.5,0.667,2023-04-08
CAD,1.353,0.739,2023-04-08
SGD,1.331,0.751,2023-04-08
CHF,0.905,1.105,2023-04-08
CNY,6.871,0.146,2023-04-08
NZD,1.597,0.626,2023-04-08
HKD,7.85,0.127,2023-04-08
MXN,18.159,0.055,2023-04-08
PHP,54.42,0.018,2023-04-08
PLN,4.285,0.233,2023-04-08
PEN,3.747,0.267,2023-04-08
EUR,0.915,1.093,2023-04-09
GBP,0.805,1.242,2023-04-09
INR,81.865,0.012,2023-04-09
AUD,1.501,0.666,2023-04-09
CAD,1.35,0.741,2023-04-09
SGD,1.332,0.751,2023-04-09
CHF,0.906,1.104,2023-04-09
CNY,6.872,0.146,2023-04-09
NZD,1.595,0.627,2023-04-09
HKD,7.85,0.127,2023-04-09
MXN,18.171,0.055,2023-04-09
PHP,54.59,0.018,2023-04-09
PLN,4.283,0.233,2023-04-09
PEN,3.749,0.267,2023-04-09
EUR,0.923,1.084,2023-04-10
GBP,0.809,1.236,2023-04-10
INR,82.091,0.012,2023-04-10
AUD,1.51,0.662,2023-04-10
CAD,1.354,0.739,2023-04-10
SGD,1.334,0.75,2023-04-10
CHF,0.911,1.097,2023-04-10
CNY,6.892,0.145,2023-04-10
NZD,1.613,0.62,2023-04-10
HKD,7.85,0.127,2023-04-10
MXN,18.166,0.055,2023-04-10
PHP,54.777,0.018,2023-04-10
PLN,4.327,0.231,2023-04-10
PEN,3.749,0.267,2023-04-10
EUR,0.917,1.09,2023-04-11
GBP,0.806,1.241,2023-04-11
INR,82.061,0.012,2023-04-11
AUD,1.504,0.665,2023-04-11
CAD,1.348,0.742,2023-04-11
SGD,1.333,0.75,2023-04-11
CHF,0.904,1.106,2023-04-11
CNY,6.89,0.145,2023-04-11
NZD,1.615,0.619,2023-04-11
HKD,7.85,0.127,2023-04-11
MXN,18.2,0.055,2023-04-11
PHP,55.065,0.018,2023-04-11
PLN,4.279,0.234,2023-04-11
PEN,3.787,0.264,2023-04-11
EUR,0.91,1.099,2023-04-12
GBP,0.802,1.247,2023-04-12
INR,81.996,0.012,2023-04-12
AUD,1.495,0.669,2023-04-12
CAD,1.345,0.743,2023-04-12
SGD,1.329,0.753,2023-04-12
CHF,0.897,1.115,2023-04-12
CNY,6.875,0.145,2023-04-12
NZD,1.61,0.621,2023-04-12
HKD,7.85,0.127,2023-04-12
MXN,18.078,0.055,2023-04-12
PHP,55.17,0.018,2023-04-12
PLN,4.236,0.236,2023-04-12
PEN,3.774,0.265,2023-04-12
EUR,0.905,1.105,2023-04-13
GBP,0.798,1.253,2023-04-13
INR,81.676,0.012,2023-04-13
AUD,1.475,0.678,2023-04-13
CAD,1.334,0.749,2023-04-13
SGD,1.322,0.757,2023-04-13
CHF,0.887,1.127,2023-04-13
CNY,6.869,0.146,2023-04-13
NZD,1.586,0.631,2023-04-13
HKD,7.85,0.127,2023-04-13
MXN,18.013,0.056,2023-04-13
PHP,55.259,0.018,2023-04-13
PLN,4.196,0.238,2023-04-13
PEN,3.774,0.265,2023-04-13
EUR,0.911,1.098,2023-04-14
GBP,0.805,1.242,2023-04-14
INR,81.905,0.012,2023-04-14
AUD,1.492,0.67,2023-04-14
CAD,1.338,0.747,2023-04-14
SGD,1.332,0.751,2023-04-14
CHF,0.896,1.116,2023-04-14
CNY,6.871,0.146,2023-04-14
NZD,1.611,0.621,2023-04-14
HKD,7.85,0.127,2023-04-14
MXN,18.057,0.055,2023-04-14
PHP,55.389,0.018,2023-04-14
PLN,4.228,0.237,2023-04-14
PEN,3.784,0.264,2023-04-14
EUR,0.906,1.104,2023-04-15
GBP,0.806,1.241,2023-04-15
INR,81.83,0.012,2023-04-15
AUD,1.483,0.674,2023-04-15
CAD,1.344,0.744,2023-04-15
SGD,1.33,0.752,2023-04-15
CHF,0.893,1.12,2023-04-15
CNY,6.866,0.146,2023-04-15
NZD,1.611,0.621,2023-04-15
HKD,7.849,0.127,2023-04-15
MXN,18.038,0.055,2023-04-15
PHP,55.343,0.018,2023-04-15
PLN,4.221,0.237,2023-04-15
PEN,3.766,0.266,2023-04-15
EUR,0.909,1.1,2023-04-16
GBP,0.806,1.241,2023-04-16
INR,81.814,0.012,2023-04-16
AUD,1.487,0.672,2023-04-16
CAD,1.336,0.748,2023-04-16
SGD,1.33,0.752,2023-04-16
CHF,0.893,1.119,2023-04-16
CNY,6.868,0.146,2023-04-16
NZD,1.611,0.621,2023-04-16
HKD,7.849,0.127,2023-04-16
MXN,18.027,0.055,2023-04-16
PHP,55.345,0.018,2023-04-16
PLN,4.221,0.237,2023-04-16
PEN,3.761,0.266,2023-04-16
EUR,0.916,1.091,2023-04-17
GBP,0.809,1.236,2023-04-17
INR,81.991,0.012,2023-04-17
AUD,1.494,0.669,2023-04-17
CAD,1.341,0.746,2023-04-17
SGD,1.335,0.749,2023-04-17
CHF,0.9,1.112,2023-04-17
CNY,6.88,0.145,2023-04-17
NZD,1.62,0.617,2023-04-17
HKD,7.85,0.127,2023-04-17
MXN,18.107,0.055,2023-04-17
PHP,56.047,0.018,2023-04-17
PLN,4.241,0.236,2023-04-17
PEN,3.782,0.264,2023-04-17
EUR,0.913,1.096,2023-04-18
GBP,0.805,1.242,2023-04-18
INR,82.097,0.012,2023-04-18
AUD,1.488,0.672,2023-04-18
CAD,1.339,0.747,2023-04-18
SGD,1.333,0.75,2023-04-18
CHF,0.898,1.113,2023-04-18
CNY,6.876,0.145,2023-04-18
NZD,1.612,0.62,2023-04-18
HKD,7.85,0.127,2023-04-18
MXN,18.074,0.055,2023-04-18
PHP,56.203,0.018,2023-04-18
PLN,4.221,0.237,2023-04-18
PEN,3.778,0.265,2023-04-18
EUR,0.913,1.095,2023-04-19
GBP,0.804,1.244,2023-04-19
INR,82.195,0.012,2023-04-19
AUD,1.489,0.672,2023-04-19
CAD,1.346,0.743,2023-04-19
SGD,1.335,0.749,2023-04-19
CHF,0.898,1.113,2023-04-19
CNY,6.887,0.145,2023-04-19
NZD,1.612,0.621,2023-04-19
HKD,7.85,0.127,2023-04-19
MXN,18.048,0.055,2023-04-19
PHP,56.29,0.018,2023-04-19
PLN,4.217,0.237,2023-04-19
PEN,3.78,0.265,2023-04-19
EUR,0.912,1.097,2023-04-20
GBP,0.803,1.245,2023-04-20
INR,82.113,0.012,2023-04-20
AUD,1.481,0.675,2023-04-20
CAD,1.346,0.743,2023-04-20
SGD,1.332,0.751,2023-04-20
CHF,0.894,1.118,2023-04-20
CNY,6.873,0.146,2023-04-20
NZD,1.615,0.619,2023-04-20
HKD,7.85,0.127,2023-04-20
MXN,18.019,0.055,2023-04-20
PHP,55.892,0.018,2023-04-20
PLN,4.193,0.238,2023-04-20
PEN,3.766,0.266,2023-04-20
EUR,0.911,1.097,2023-04-21
GBP,0.805,1.242,2023-04-21
INR,82.069,0.012,2023-04-21
AUD,1.495,0.669,2023-04-21
CAD,1.353,0.739,2023-04-21
SGD,1.335,0.749,2023-04-21
CHF,0.893,1.12,2023-04-21
CNY,6.893,0.145,2023-04-21
NZD,1.629,0.614,2023-04-21
HKD,7.848,0.127,2023-04-21
MXN,18.014,0.056,2023-04-21
PHP,55.875,0.018,2023-04-21
PLN,4.202,0.238,2023-04-21
PEN,3.765,0.266,2023-04-21
EUR,0.903,1.107,2023-04-22
GBP,0.804,1.244,2023-04-22
INR,82.036,0.012,2023-04-22
AUD,1.494,0.669,2023-04-22
CAD,1.361,0.735,2023-04-22
SGD,1.335,0.749,2023-04-22
CHF,0.893,1.12,2023-04-22
CNY,6.891,0.145,2023-04-22
NZD,1.629,0.614,2023-04-22
HKD,7.849,0.127,2023-04-22
MXN,17.987,0.056,2023-04-22
PHP,55.892,0.018,2023-04-22
PLN,4.198,0.238,2023-04-22
PEN,3.748,0.267,2023-04-22
EUR,0.901,1.11,2023-04-23
GBP,0.804,1.243,2023-04-23
INR,82.035,0.012,2023-04-23
AUD,1.494,0.669,2023-04-23
CAD,1.354,0.739,2023-04-23
SGD,1.335,0.749,2023-04-23
CHF,0.892,1.12,2023-04-23
CNY,6.889,0.145,2023-04-23
NZD,1.63,0.614,2023-04-23
HKD,7.848,0.127,2023-04-23
MXN,17.985,0.056,2023-04-23
PHP,55.894,0.018,2023-04-23
PLN,4.198,0.238,2023-04-23
PEN,3.748,0.267,2023-04-23
EUR,0.907,1.103,2023-04-24
GBP,0.803,1.246,2023-04-24
INR,81.931,0.012,2023-04-24
AUD,1.497,0.668,2023-04-24
CAD,1.354,0.738,2023-04-24
SGD,1.335,0.749,2023-04-24
CHF,0.889,1.125,2023-04-24
CNY,6.896,0.145,2023-04-24
NZD,1.629,0.614,2023-04-24
HKD,7.849,0.127,2023-04-24
MXN,18.013,0.056,2023-04-24
PHP,55.687,0.018,2023-04-24
PLN,4.171,0.24,2023-04-24
PEN,3.76,0.266,2023-04-24
EUR,0.911,1.097,2023-04-25
GBP,0.807,1.24,2023-04-25
INR,82.016,0.012,2023-04-25
AUD,1.509,0.663,2023-04-25
CAD,1.363,0.734,2023-04-25
SGD,1.339,0.747,2023-04-25
CHF,0.892,1.121,2023-04-25
CNY,6.932,0.144,2023-04-25
NZD,1.628,0.614,2023-04-25
HKD,7.85,0.127,2023-04-25
MXN,18.07,0.055,2023-04-25
PHP,55.556,0.018,2023-04-25
PLN,4.187,0.239,2023-04-25
PEN,3.757,0.266,2023-04-25
EUR,0.905,1.105,2023-04-26
GBP,0.801,1.248,2023-04-26
INR,81.756,0.012,2023-04-26
AUD,1.512,0.662,2023-04-26
CAD,1.36,0.735,2023-04-26
SGD,1.334,0.75,2023-04-26
CHF,0.89,1.123,2023-04-26
CNY,6.925,0.144,2023-04-26
NZD,1.63,0.613,2023-04-26
HKD,7.85,0.127,2023-04-26
MXN,18.114,0.055,2023-04-26
PHP,55.649,0.018,2023-04-26
PLN,4.149,0.241,2023-04-26
PEN,3.744,0.267,2023-04-26
EUR,0.908,1.102,2023-04-27
GBP,0.802,1.247,2023-04-27
INR,81.754,0.012,2023-04-27
AUD,1.512,0.661,2023-04-27
CAD,1.361,0.735,2023-04-27
SGD,1.336,0.748,2023-04-27
CHF,0.896,1.117,2023-04-27
CNY,6.924,0.144,2023-04-27
NZD,1.631,0.613,2023-04-27
HKD,7.85,0.127,2023-04-27
MXN,18.074,0.055,2023-04-27
PHP,55.678,0.018,2023-04-27
PLN,4.159,0.24,2023-04-27
PEN,3.736,0.268,2023-04-27
EUR,0.906,1.104,2023-04-28
GBP,0.795,1.258,2023-04-28
INR,81.778,0.012,2023-04-28
AUD,1.511,0.662,2023-04-28
CAD,1.356,0.738,2023-04-28
SGD,1.333,0.75,2023-04-28
CHF,0.891,1.122,2023-04-28
CNY,6.913,0.145,2023-04-28
NZD,1.617,0.618,2023-04-28
HKD,7.85,0.127,2023-04-28
MXN,18.0,0.056,2023-04-28
PHP,55.363,0.018,2023-04-28
PLN,4.153,0.241,2023-04-28
PEN,3.711,0.269,2023-04-28
EUR,0.9,1.111,2023-04-29
GBP,0.796,1.257,2023-04-29
INR,81.731,0.012,2023-04-29
AUD,1.511,0.662,2023-04-29
CAD,1.36,0.735,2023-04-29
SGD,1.335,0.749,2023-04-29
CHF,0.895,1.118,2023-04-29
CNY,6.913,0.145,2023-04-29
NZD,1.618,0.618,2023-04-29
HKD,7.85,0.127,2023-04-29
MXN,18.0,0.056,2023-04-29
PHP,55.486,0.018,2023-04-29
PLN,4.162,0.24,2023-04-29
PEN,3.708,0.27,2023-04-29
EUR,0.906,1.103,2023-04-30
GBP,0.795,1.257,2023-04-30
INR,81.734,0.012,2023-04-30
AUD,1.513,0.661,2023-04-30
CAD,1.355,0.738,2023-04-30
SGD,1.335,0.749,2023-04-30
CHF,0.894,1.118,2023-04-30
CNY,6.912,0.145,2023-04-30
NZD,1.617,0.619,2023-04-30
HKD,7.85,0.127,2023-04-30
MXN,18.001,0.056,2023-04-30
PHP,55.487,0.018,2023-04-30
PLN,4.161,0.24,2023-04-30
PEN,3.708,0.27,2023-04-30
EUR,0.912,1.097,2023-05-01
GBP,0.8,1.249,2023-05-01
INR,81.76,0.012,2023-05-01
AUD,1.507,0.663,2023-05-01
CAD,1.354,0.738,2023-05-01
SGD,1.337,0.748,2023-05-01
CHF,0.896,1.116,2023-05-01
CNY,6.922,0.144,2023-05-01
NZD,1.621,0.617,2023-05-01
HKD,7.85,0.127,2023-05-01
MXN,17.926,0.056,2023-05-01
PHP,55.543,0.018,2023-05-01
PLN,4.197,0.238,2023-05-01
PEN,3.711,0.269,2023-05-01
EUR,0.909,1.1,2023-05-02
GBP,0.802,1.247,2023-05-02
INR,81.746,0.012,2023-05-02
AUD,1.5,0.667,2023-05-02
CAD,1.363,0.734,2023-05-02
SGD,1.335,0.749,2023-05-02
CHF,0.893,1.12,2023-05-02
CNY,6.914,0.145,2023-05-02
NZD,1.611,0.621,2023-05-02
HKD,7.85,0.127,2023-05-02
MXN,18.063,0.055,2023-05-02
PHP,55.403,0.018,2023-05-02
PLN,4.166,0.24,2023-05-02
PEN,3.71,0.27,2023-05-02
EUR,0.905,1.105,2023-05-03
GBP,0.797,1.255,2023-05-03
INR,81.773,0.012,2023-05-03
AUD,1.498,0.667,2023-05-03
CAD,1.361,0.735,2023-05-03
SGD,1.331,0.752,2023-05-03
CHF,0.887,1.127,2023-05-03
CNY,6.913,0.145,2023-05-03
NZD,1.603,0.624,2023-05-03
HKD,7.85,0.127,2023-05-03
MXN,17.903,0.056,2023-05-03
PHP,55.271,0.018,2023-05-03
PLN,4.149,0.241,2023-05-03
PEN,3.705,0.27,2023-05-03
EUR,0.908,1.101,2023-05-04
GBP,0.795,1.258,2023-05-04
INR,81.743,0.012,2023-05-04
AUD,1.498,0.668,2023-05-04
CAD,1.357,0.737,2023-05-04
SGD,1.329,0.753,2023-05-04
CHF,0.886,1.128,2023-05-04
CNY,6.911,0.145,2023-05-04
NZD,1.592,0.628,2023-05-04
HKD,7.848,0.127,2023-05-04
MXN,17.965,0.056,2023-05-04
PHP,55.406,0.018,2023-05-04
PLN,4.165,0.24,2023-05-04
PEN,3.714,0.269,2023-05-04
EUR,0.907,1.102,2023-05-05
GBP,0.791,1.265,2023-05-05
INR,81.69,0.012,2023-05-05
AUD,1.482,0.675,2023-05-05
CAD,1.342,0.745,2023-05-05
SGD,1.325,0.755,2023-05-05
CHF,0.891,1.122,2023-05-05
CNY,6.911,0.145,2023-05-05
NZD,1.588,0.63,2023-05-05
HKD,7.848,0.127,2023-05-05
MXN,17.752,0.056,2023-05-05
PHP,55.319,0.018,2023-05-05
PLN,4.149,0.241,2023-05-05
PEN,3.707,0.27,2023-05-05
EUR,0.893,1.12,2023-05-06
GBP,0.791,1.264,2023-05-06
INR,81.767,0.012,2023-05-06
AUD,1.48,0.676,2023-05-06
CAD,1.342,0.745,2023-05-06
SGD,1.326,0.754,2023-05-06
CHF,0.896,1.116,2023-05-06
CNY,6.911,0.145,2023-05-06
NZD,1.591,0.628,2023-05-06
HKD,7.85,0.127,2023-05-06
MXN,17.769,0.056,2023-05-06
PHP,55.367,0.018,2023-05-06
PLN,4.152,0.241,2023-05-06
PEN,3.695,0.271,2023-05-06
EUR,0.892,1.121,2023-05-07
GBP,0.791,1.264,2023-05-07
INR,81.718,0.012,2023-05-07
AUD,1.482,0.675,2023-05-07
CAD,1.337,0.748,2023-05-07
SGD,1.325,0.755,2023-05-07
CHF,0.897,1.114,2023-05-07
CNY,6.91,0.145,2023-05-07
NZD,1.589,0.629,2023-05-07
HKD,7.848,0.127,2023-05-07
MXN,17.782,0.056,2023-05-07
PHP,55.303,0.018,2023-05-07
PLN,4.153,0.241,2023-05-07
PEN,3.694,0.271,2023-05-07
EUR,0.907,1.102,2023-05-08
GBP,0.792,1.263,2023-05-08
INR,81.785,0.012,2023-05-08
AUD,1.473,0.679,2023-05-08
CAD,1.336,0.749,2023-05-08
SGD,1.324,0.755,2023-05-08
CHF,0.889,1.124,2023-05-08
CNY,6.914,0.145,2023-05-08
NZD,1.575,0.635,2023-05-08
HKD,7.849,0.127,2023-05-08
MXN,17.826,0.056,2023-05-08
PHP,55.337,0.018,2023-05-08
PLN,4.139,0.242,2023-05-08
PEN,3.706,0.27,2023-05-08
EUR,0.913,1.095,2023-05-09
GBP,0.792,1.262,2023-05-09
INR,82.123,0.012,2023-05-09
AUD,1.481,0.675,2023-05-09
CAD,1.34,0.746,2023-05-09
SGD,1.328,0.753,2023-05-09
CHF,0.892,1.121,2023-05-09
CNY,6.92,0.145,2023-05-09
NZD,1.582,0.632,2023-05-09
HKD,7.841,0.128,2023-05-09
MXN,17.751,0.056,2023-05-09
PHP,55.802,0.018,2023-05-09
PLN,4.156,0.241,2023-05-09
PEN,3.694,0.271,2023-05-09
EUR,0.912,1.097,2023-05-10
GBP,0.793,1.261,2023-05-10
INR,81.951,0.012,2023-05-10
AUD,1.479,0.676,2023-05-10
CAD,1.337,0.748,2023-05-10
SGD,1.327,0.754,2023-05-10
CHF,0.891,1.122,2023-05-10
CNY,6.933,0.144,2023-05-10
NZD,1.574,0.635,2023-05-10
HKD,7.83,0.128,2023-05-10
MXN,17.611,0.057,2023-05-10
PHP,55.693,0.018,2023-05-10
PLN,4.121,0.243,2023-05-10
PEN,3.671,0.272,2023-05-10
EUR,0.916,1.092,2023-05-11
GBP,0.8,1.25,2023-05-11
INR,82.13,0.012,2023-05-11
AUD,1.494,0.669,2023-05-11
CAD,1.349,0.741,2023-05-11
SGD,1.332,0.751,2023-05-11
CHF,0.895,1.117,2023-05-11
CNY,6.949,0.144,2023-05-11
NZD,1.588,0.63,2023-05-11
HKD,7.837,0.128,2023-05-11
MXN,17.611,0.057,2023-05-11
PHP,55.781,0.018,2023-05-11
PLN,4.16,0.24,2023-05-11
PEN,3.679,0.272,2023-05-11
EUR,0.921,1.086,2023-05-12
GBP,0.802,1.246,2023-05-12
INR,82.2,0.012,2023-05-12
AUD,1.504,0.665,2023-05-12
CAD,1.354,0.738,2023-05-12
SGD,1.338,0.747,2023-05-12
CHF,0.897,1.115,2023-05-12
CNY,6.958,0.144,2023-05-12
NZD,1.615,0.619,2023-05-12
HKD,7.843,0.128,2023-05-12
MXN,17.609,0.057,2023-05-12
PHP,55.889,0.018,2023-05-12
PLN,4.164,0.24,2023-05-12
PEN,3.651,0.274,2023-05-12
EUR,0.919,1.088,2023-05-13
GBP,0.803,1.245,2023-05-13
INR,82.17,0.012,2023-05-13
AUD,1.499,0.667,2023-05-13
CAD,1.359,0.736,2023-05-13
SGD,1.339,0.747,2023-05-13
CHF,0.898,1.113,2023-05-13
CNY,6.949,0.144,2023-05-13
NZD,1.615,0.619,2023-05-13
HKD,7.844,0.127,2023-05-13
MXN,17.606,0.057,2023-05-13
PHP,55.786,0.018,2023-05-13
PLN,4.165,0.24,2023-05-13
PEN,3.655,0.274,2023-05-13
EUR,0.922,1.085,2023-05-14
GBP,0.803,1.245,2023-05-14
INR,82.177,0.012,2023-05-14
AUD,1.504,0.665,2023-05-14
CAD,1.355,0.738,2023-05-14
SGD,1.339,0.747,2023-05-14
CHF,0.898,1.113,2023-05-14
CNY,6.956,0.144,2023-05-14
NZD,1.615,0.619,2023-05-14
HKD,7.842,0.128,2023-05-14
MXN,17.596,0.057,2023-05-14
PHP,55.865,0.018,2023-05-14
PLN,4.164,0.24,2023-05-14
PEN,3.655,0.274,2023-05-14
EUR,0.92,1.087,2023-05-15
GBP,0.798,1.252,2023-05-15
INR,82.239,0.012,2023-05-15
AUD,1.493,0.67,2023-05-15
CAD,1.349,0.742,2023-05-15
SGD,1.337,0.748,2023-05-15
CHF,0.895,1.117,2023-05-15
CNY,6.952,0.144,2023-05-15
NZD,1.606,0.623,2023-05-15
HKD,7.839,0.128,2023-05-15
MXN,17.561,0.057,2023-05-15
PHP,56.035,0.018,2023-05-15
PLN,4.144,0.241,2023-05-15
PEN,3.662,0.273,2023-05-15
EUR,0.921,1.086,2023-05-16
GBP,0.801,1.249,2023-05-16
INR,82.298,0.012,2023-05-16
AUD,1.501,0.666,2023-05-16
CAD,1.346,0.743,2023-05-16
SGD,1.339,0.747,2023-05-16
CHF,0.897,1.115,2023-05-16
CNY,6.978,0.143,2023-05-16
NZD,1.604,0.623,2023-05-16
HKD,7.838,0.128,2023-05-16
MXN,17.437,0.057,2023-05-16
PHP,56.155,0.018,2023-05-16
PLN,4.133,0.242,2023-05-16
PEN,3.676,0.272,2023-05-16
EUR,0.924,1.083,2023-05-17
GBP,0.802,1.247,2023-05-17
INR,82.431,0.012,2023-05-17
AUD,1.504,0.665,2023-05-17
CAD,1.348,0.742,2023-05-17
SGD,1.343,0.745,2023-05-17
CHF,0.899,1.112,2023-05-17
CNY,6.998,0.143,2023-05-17
NZD,1.601,0.625,2023-05-17
HKD,7.83,0.128,2023-05-17
MXN,17.599,0.057,2023-05-17
PHP,56.119,0.018,2023-05-17
PLN,4.166,0.24,2023-05-17
PEN,3.696,0.271,2023-05-17
EUR,0.928,1.078,2023-05-18
GBP,0.805,1.242,2023-05-18
INR,82.749,0.012,2023-05-18
AUD,1.511,0.662,2023-05-18
CAD,1.351,0.74,2023-05-18
SGD,1.348,0.742,2023-05-18
CHF,0.905,1.105,2023-05-18
CNY,7.037,0.142,2023-05-18
NZD,1.609,0.622,2023-05-18
HKD,7.828,0.128,2023-05-18
MXN,17.723,0.056,2023-05-18
PHP,55.801,0.018,2023-05-18
PLN,4.219,0.237,2023-05-18
PEN,3.704,0.27,2023-05-18
EUR,0.924,1.082,2023-05-19
GBP,0.803,1.246,2023-05-19
INR,82.903,0.012,2023-05-19
AUD,1.502,0.666,2023-05-19
CAD,1.351,0.74,2023-05-19
SGD,1.345,0.744,2023-05-19
CHF,0.899,1.112,2023-05-19
CNY,7.008,0.143,2023-05-19
NZD,1.591,0.629,2023-05-19
HKD,7.816,0.128,2023-05-19
MXN,17.699,0.056,2023-05-19
PHP,55.679,0.018,2023-05-19
PLN,4.199,0.238,2023-05-19
PEN,3.692,0.271,2023-05-19
EUR,0.924,1.082,2023-05-20
GBP,0.803,1.245,2023-05-20
INR,82.848,0.012,2023-05-20
